red,green,blue
182,206,230
188,207,237
185,197,235
184,187,228
186,182,215
205,198,229
202,191,225
197,182,201
200,175,168
202,170,149
220,174,159
232,189,183
226,196,208
214,196,218
177,168,195
160,160,188
177,177,205
205,206,234
200,199,230
192,191,222
206,223,251
198,213,244
201,209,246
195,199,236
195,194,228
200,195,227
190,180,214
190,173,192
199,169,161
141,98,81
95,45,34
119,74,71
181,149,160
192,175,194
177,168,195
169,166,195
173,173,201
187,188,216
202,201,232
212,211,242
216,222,255
218,224,255
217,222,254
198,201,234
195,197,235
209,207,244
205,200,232
196,178,194
196,151,145
158,99,85
171,108,103
144,92,96
160,127,136
210,192,208
178,168,195
168,163,195
194,194,222
212,213,241
222,221,252
225,224,255
209,209,247
195,198,231
191,194,225
207,210,241
194,197,232
193,193,229
199,196,227
206,188,204
185,134,130
179,113,101
207,142,140
192,137,142
168,135,144
189,171,187
182,169,195
171,166,196
173,173,201
185,186,214
211,210,241
226,225,255
203,206,241
207,212,244
209,214,244
220,223,254
191,192,223
219,218,249
234,231,255
226,208,224
196,145,142
168,104,94
188,125,120
178,126,130
208,174,188
212,193,212
173,163,187
174,172,196
190,190,216
169,169,197
183,182,213
204,203,234
204,209,241
211,216,248
205,208,239
206,207,237
203,200,229
234,231,255
228,224,249
231,213,227
217,167,166
171,107,98
195,136,132
197,148,151
215,183,196
221,202,221
187,178,197
170,167,188
184,181,208
188,188,216
190,189,220
175,174,205
194,200,234
198,201,234
224,221,250
213,207,235
200,194,220
222,217,240
231,226,246
223,203,214
211,160,159
168,104,102
184,125,127
214,167,173
234,204,214
218,202,215
184,173,189
165,160,180
186,182,207
187,184,211
191,188,217
183,180,209
216,222,255
207,210,241
230,226,253
213,205,229
209,199,223
201,189,209
213,201,215
204,179,185
186,140,140
159,105,103
186,137,141
170,134,138
186,164,167
198,183,190
188,176,188
177,168,185
203,198,221
206,202,227
203,199,226
188,184,211
194,202,238
206,213,242
211,212,233
199,194,214
195,182,202
212,191,208
170,144,153
186,156,158
185,150,146
157,122,118
197,168,172
142,120,123
11,0,0
92,78,77
131,115,125
148,136,150
194,185,206
205,200,222
217,212,235
179,173,199
179,190,222
193,200,229
189,191,212
185,181,198
168,155,172
118,96,108
36,7,11
141,111,109
155,127,123
168,144,140
180,164,165
56,42,42
58,48,39
36,26,17
11,0,1
10,0,8
166,155,171
192,185,203
199,191,212
184,176,199
164,174,201
188,195,221
217,217,241
194,190,207
135,128,135
13,1,1
61,42,36
69,49,42
122,103,97
147,129,125
113,99,96
30,19,15
57,47,38
50,41,32
60,52,49
4,0,0
125,115,126
190,182,197
169,160,177
190,181,198
168,176,199
183,187,212
218,216,240
192,185,203
133,124,129
29,18,12
57,40,30
58,41,31
154,139,132
145,132,126
87,74,66
37,24,16
39,22,14
42,28,19
56,47,40
14,9,5
94,84,92
194,184,195
175,167,180
194,186,199
187,189,210
178,179,200
209,204,226
196,185,202
132,115,121
22,3,0
59,39,30
54,38,25
142,132,122
132,122,113
53,40,31
84,66,56
103,74,68
62,35,28
44,30,21
41,32,27
27,18,19
122,115,122
186,176,185
213,203,212
192,191,209
187,184,203
201,193,214
197,184,201
136,117,123
19,0,0
68,50,40
49,35,22
110,100,88
111,101,89
30,16,3
102,80,67
166,131,125
146,113,106
59,41,31
32,22,13
42,34,32
10,4,6
100,91,96
188,179,184
172,169,186
190,187,204
187,180,198
186,175,189
138,123,128
13,0,0
15,2,0
27,15,1
113,101,87
102,89,73
32,19,0
57,38,21
124,90,81
162,127,121
102,82,73
26,13,5
51,43,40
57,51,51
9,0,1
149,140,143
178,182,194
206,205,219
187,180,196
177,165,179
130,113,121
57,39,39
107,90,82
85,69,56
104,88,73
93,80,63
25,14,0
40,25,6
31,4,0
86,59,52
82,63,56
61,48,42
52,42,41
39,30,33
6,0,0
135,126,129
168,182,191
193,201,212
189,182,200
174,157,175
139,117,129
102,76,79
144,113,110
109,79,71
94,75,61
83,70,54
17,10,0
33,26,7
32,23,8
12,2,0
8,0,0
84,74,75
88,77,83
87,75,85
129,117,127
155,143,153
150,169,176
167,177,187
168,161,179
170,153,171
159,137,149
95,66,71
97,61,61
89,56,49
88,68,57
69,57,41
18,11,0
23,20,1
35,33,18
39,37,25
6,1,0
103,94,99
169,157,167
164,152,164
172,160,172
162,152,163
136,148,160
156,162,176
169,161,182
159,144,163
176,158,170
158,135,141
121,91,91
45,17,13
74,56,46
48,36,22
19,12,0
24,21,2
25,23,8
34,31,22
8,4,1
84,78,82
159,147,157
159,147,159
156,145,159
145,137,150
132,142,154
153,156,171
172,164,185
151,138,156
169,153,166
167,148,154
131,105,106
59,34,29
99,82,74
44,35,20
18,11,0
25,22,5
28,25,10
33,30,21
27,23,20
55,49,53
149,139,148
151,141,152
149,138,152
150,142,155
